Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped type
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,404,Weights and measures,Service
16,Community safety,,2013-04-03,2013-04-03,,Function,,,,,,,,
17,Criminal justice,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,,,,
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,793,Civil emergencies - flooding,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,794,Civil emergencies - gas pipelines,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,792,Civil emergencies - major accident hazards,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,729,Civil emergencies - social and psychological support,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1308,Current emergency situations - civil,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1287,Current emergency situations - health,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1307,Current emergency situations - weather,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,703,Emergency plan,Service
18,Emergencies,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1612,Flood prevention,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,800,Arson reduction,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,802,Community fire safety,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1609,Fire and rescue - operational assurance,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1610,Fire and rescue - risk management,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,818,Fire hydrants maintenance,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1604,Firework incident research,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1602,Home fire safety equipment,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,795,Radioactive materials storage and transport,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,817,Specialist rescue services,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1364,Temporary structure fire safety,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1607,Water network extensions,Service
19,Fire safety,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,813,Workplace fire regulations,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1603,Arson investigation,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1474,Attending arson incidents,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,801,Attending automatic fire alarms,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,815,Attending fires,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1605,Fire and rescue incident investigation,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,798,Hazardous chemical (HAZCHEM) incidents,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1636,Operations -  appliance management,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1637,"Operations - real time information (traffic, events etc.)",Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1638,Operations - specialist equipment co-ordination,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1639,Operations - user guides,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,816,Post-incident support,Service
130,Fire attendance,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,819,Securing premises after fire,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,805,Fire certificates - factories,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,808,Fire certificates - hotels/boarding houses,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,806,Fire certificates - offices,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,807,Fire certificates - shops,Service
