Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2
86,Businesses and markets,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
163,Businesses,,2016-09-12,2016-09-12,Added in March 2016 review,Function,86,Businesses and markets,"Licences, permits and permissions",Businesses and markets
164,Markets,,2016-09-12,2016-09-12,Added in March 2016 review,Function,86,Businesses and markets,"Licences, permits and permissions",Businesses and markets
89,Food,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
90,Gambling and lottery,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
88,Hazardous materials,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
87,Social care and education,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
91,Transport,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
166,Roads and streets,,2016-09-12,2016-09-12,Added in March 2016 review,Function,91,Transport,"Licences, permits and permissions",Transport
167,Taxi and private hire,,2016-09-12,2016-09-12,Added in March 2016 review,Function,91,Transport,"Licences, permits and permissions",Transport
92,Utilites,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
93,Waste and pollution,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
94,Water activities,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions","Licences, permits and permissions",
95,Marine and waterway services,,2013-04-03,2013-04-03,,Function,,,,
96,Coastline,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,Marine and waterway services,
97,Inland waterways,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,Marine and waterway services,
98,Ports and harbours,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,Marine and waterway services,
168,Port and harbour facilities,,2016-09-12,2016-09-12,Added in March 2016 review,Function,98,Ports and harbours,Marine and waterway services,Ports and harbours
169,Port and harbour operations,,2016-09-12,2016-09-12,Added in March 2016 review,Function,98,Ports and harbours,Marine and waterway services,Ports and harbours
99,Planning and building control,,2013-04-03,2013-04-03,,Function,,,,
100,Building control,,2013-04-03,2013-04-03,,Function,99,Planning and building control,Planning and building control,
101,Development control,,2013-04-03,2013-04-03,,Function,99,Planning and building control,Planning and building control,
102,Heritage and landscape,,2013-04-03,2013-04-03,,Function,99,Planning and building control,Planning and building control,
